Title,Company,Address,Time,Requirements
Community Pharmacy Intern / Heliopolis,Vezeeta.com ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · Medical/Healthcare · Pharmaceutical · Pharmaceutical · Pharmacy · Medical · Communication Skills
Information Technology Manager,Confidential ,"Mansoura, Dakahlia, Egypt ",Full Time,Full TimeManager · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Project/Program Management · Technical Support · Information Technology (IT) · API · Server · Web Services · MSSQL · Database
Community Pharmacy Intern / Nasr City,Vezeeta.com ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeEntry Level · Medical/Healthcare · Pharmaceutical · Pharmaceutical · Pharmacy · Medical · Communication Skills
Electrical Project Manager,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeManager · 8 - 12 Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · Engineering - Other · Electrical Engineering · Electrical · Project Management · Project · PMP · manager
Medical Sales Rep.,Royal Lab ,"Mansoura, Dakahlia, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · Medical/Healthcare · Sales/Retail · Communication skills · Negotiation · Sales · Medical · sales skills · Sales Target
Android Developer,intrazero ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Kotlin/Java · MVVM · Corotunie · Dependancy injection (Koin or hilt) · Room database · OOP · Jetpack compose · Git · Retrofit
Senior Architecture,Confidential ,"Dokki, Giza, Egypt ",Full Time,Full TimeSenior Management · 4 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Architecture · Commercial · Communication skills · Design · Engineering · Leadership · Revit · Projects
Safety & Fire Fighting Engineer- Alexandria,Confidential ,"Alexandria, Egypt ",Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering - Other · Engineering · Fire Fighting · Mechanical Engineering · Fire Safety
Business Developer Digital Marketing Agency,Penvlit ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Business Development · Marketing/PR/Advertising · Sales/Retail · business development · Digital Marketing · sales · Marketing · Communication · Digital Advertising · Digital
Administrator,Esparanza ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · Administration · Admin · Administration · Office Management
